Code,Name,Sector,Exchange,CCY,CurrentPrice,MarketCap(Billions)
1873.HK,VIVA BIOTECH,Health Care,HKG,HKD,2.33,4.462974976
1877.HK,JUNSHI BIO,Health Care,HKG,HKD,41.4,70.913646592
1951.HK,JXR,Health Care,HKG,HKD,5.94,14.86098944
1952.HK,EVEREST MED-B,Health Care,HKG,HKD,21.35,6.39581952
2005.HK,SSY GROUP,Health Care,HKG,HKD,3.46,10.334154752
2096.HK,SIMCERE PHARMA,Health Care,HKG,HKD,8.91,23.583967232
2126.HK,JW THERAP-B,Health Care,HKG,HKD,7.35,3.017527808
2137.HK,BRII-B,Health Care,HKG,HKD,8.11,5.841567744
2138.HK,EC HEALTHCARE,Health Care,HKG,HKD,7.81,9.203147776
2142.HK,HBM HOLDINGS-B,Health Care,HKG,HKD,3.69,2.750116608
2158.HK,YIDU TECH,Health Care,HKG,HKD,7.35,7.221073408
2160.HK,CARDIOFLOW-B,Health Care,HKG,HKD,2.32,5.576259072
2162.HK,KEYMED BIO-B,Health Care,HKG,HKD,24.25,6.78359808
2171.HK,CARSGEN-B,Health Care,HKG,HKD,11.08,6.288310272
2186.HK,LUYE PHARMA,Health Care,HKG,HKD,2.34,8.3062272
2192.HK,MEDLIVE,Health Care,HKG,HKD,8.64,6.166593024
2196.HK,FOSUN PHARMA,Health Care,HKG,HKD,32.05,118.178922496
2197.HK,CLOVER BIO-B,Health Care,HKG,HKD,3.88,4.493466624
2252.HK,MEDBOT-B,Health Care,HKG,HKD,24.45,23.437623296
2269.HK,WUXI BIO,Health Care,HKG,HKD,57.0,240.266395648
2273.HK,GUSHENGTANG,Health Care,HKG,HKD,30.3,6.980998656
2279.HK,YONGHE MEDICAL,Health Care,HKG,HKD,10.4,5.481631744
2359.HK,WUXI APPTEC,Health Care,HKG,HKD,91.25,308.508033024
2500.HK,VENUS MEDTECH-B,Health Care,HKG,HKD,13.52,5.962468864
2607.HK,SH PHARMA,Health Care,HKG,HKD,12.52,69.182390272
2616.HK,CSTONE PHARMA-B,Health Care,HKG,HKD,5.1,6.03442176
3309.HK,C-MER EYE,Health Care,HKG,HKD,4.53,5.59740416
3320.HK,CHINARES PHARMA,Health Care,HKG,HKD,4.32,27.14044416
3347.HK,TIGERMED,Health Care,HKG,HKD,70.5,80.151445504
3613.HK,TONGRENTANGCM,Health Care,HKG,HKD,10.56,8.839776256
3692.HK,HANSOH PHARMA,Health Care,HKG,HKD,12.48,73.91092736
3759.HK,PHARMARON,Health Care,HKG,HKD,91.5,102.27412992
3933.HK,UNITED LAB,Health Care,HKG,HKD,3.57,6.488724992
6078.HK,HYGEIA HEALTH,Health Care,HKG,HKD,42.9,26.457458688
6160.HK,BEIGENE,Health Care,HKG,HKD,85.9,114.713444352
6185.HK,CANSINOBIO-B,Health Care,HKG,HKD,74.05,31.952058368
6600.HK,SCICLONE PHARMA,Health Care,HKG,HKD,7.91,5.39882752
6606.HK,NH HEALTH-B,Health Care,HKG,HKD,16.24,6.97897728
6618.HK,JD HEALTH,Health Care,HKG,HKD,48.4,153.855868928
6699.HK,ANGELALIGN,Health Care,HKG,HKD,135.8,23.272046592
6855.HK,ASCENTAGE-B,Health Care,HKG,HKD,17.66,4.64247808
