Code,Name,Sector,Exchange,CCY,CurrentPrice,MarketCap(Billions)
MLM,Martin Marietta,Materials,NYQ,USD,337.07,21.027067904
MAS,Masco,Industrials,NYQ,USD,55.67,13.588323328
MA,Mastercard,Information Technology,NYQ,USD,357.06,350.831804416
MTCH,Match Group,Communication Services,NMS,USD,79.24,22.431653888
MKC,McCormick,Consumer Staples,NYQ,USD,90.72,24.253448192
MCD,McDonald's,Consumer Discretionary,NYQ,USD,249.28,186.273234944
MCK,McKesson,Health Care,NYQ,USD,322.21,49.195667456
MDT,Medtronic,Health Care,NYQ,USD,97.78,131.47107328
MRK,Merck,Health Care,NYQ,USD,91.14,230.214172672
FB,Meta,Communication Services,NMS,USD,188.64,524.751208448
MET,MetLife,Financials,NYQ,USD,66.66,56.071729152
MTD,Mettler Toledo,Health Care,NYQ,USD,1263.4,29.040134144
MGM,MGM Resorts,Consumer Discretionary,NYQ,USD,34.19,16.033741824
MCHP,Microchip,Information Technology,NMS,USD,71.16,39.4846208
MU,Micron,Information Technology,NMS,USD,73.55,82.388508672
MSFT,Microsoft,Information Technology,NMS,USD,272.42,2045.323902976
MAA,Mid-America Apartments,Real Estate,NYQ,USD,179.77,20.69835776
MRNA,Moderna,Health Care,NMS,USD,143.4,58.141523968
MHK,Mohawk Industries,Consumer Discretionary,NYQ,USD,139.61,9.456120832
MOH,Molina Healthcare,Health Care,NYQ,USD,287.38,16.782992384
TAP,Molson Coors,Consumer Staples,NYQ,USD,54.72,11.8987008
MDLZ,Mondelez International,Consumer Staples,NMS,USD,62.91,87.757561856
MPWR,Monolithic Power Systems,Information Technology,NMS,USD,448.25,20.66118656
MNST,Monster Beverage,Consumer Staples,NMS,USD,88.05,46.59068928
MCO,Moody's,Financials,NYQ,USD,282.38,52.494442496
MS,Morgan Stanley,Financials,NYQ,USD,85.0,152.524849152
MOS,Mosaic,Materials,NYQ,USD,58.69,21.739362304
MSI,Motorola Solutions,Information Technology,NYQ,USD,217.62,36.755361792
MSCI,MSCI,Financials,NYQ,USD,431.45,35.57163008
NDAQ,Nasdaq,Financials,NMS,USD,152.27,25.462894592
NTAP,NetApp,Information Technology,NMS,USD,72.51,16.117378048
NFLX,Netflix,Communication Services,NMS,USD,192.91,85.449875456
NWL,Newell Brands,Consumer Discretionary,NMS,USD,21.49,9.141846016
NEM,Newmont,Materials,NYQ,USD,67.27,53.64344832
NWSA,News Corp (Class A),Communication Services,NMS,USD,17.21,10.22317056
NWS,News Corp (Class B),Communication Services,NMS,USD,17.38,10.238035968
NEE,NextEra Energy,Utilities,NYQ,USD,76.17,149.456207872
NLSN,Nielsen,Industrials,NYQ,USD,25.43,9.127514112
NKE,Nike,Consumer Discretionary,NYQ,USD,118.68,187.849080832
NI,NiSource,Utilities,NYQ,USD,31.34,12.30737408
NDSN,Nordson,Industrials,NMS,USD,215.35,12.528330752
NSC,Norfolk Southern,Industrials,NYQ,USD,241.94,58.874888192
NTRS,Northern Trust,Financials,NMS,USD,108.76,22.58521088
NOC,Northrop Grumman,Industrials,NYQ,USD,464.25,73.044164608
NLOK,NortonLifeLock,Information Technology,NMS,USD,24.36,14.171552768
