Code,Name,Sector,Exchange,CCY,CurrentPrice,MarketCap(Billions),TargetPrice,As_of_Date
ITW,Illinois Tool Works,Industrials,NYQ,USD,205.98,64.653205504,,2022-06-03
ILMN,Illumina,Health Care,NMS,USD,235.2,36.761759744,,2022-06-03
INCY,Incyte,Health Care,NMS,USD,74.98,16.562408448,,2022-06-03
IR,Ingersoll Rand,Industrials,NYQ,USD,47.25,19.258390528,,2022-06-03
INTC,Intel,Information Technology,NMS,USD,44.11,179.3953792,,2022-06-03
ICE,Intercontinental Exchange,Financials,NYQ,USD,101.99,57.46157568,,2022-06-03
IBM,IBM,Information Technology,NYQ,USD,139.43,124.973891584,,2022-06-03
IP,International Paper,Materials,NYQ,USD,47.45,18.375630848,,2022-06-03
IPG,Interpublic Group,Communication Services,NYQ,USD,31.68,12.474159104,,2022-06-03
IFF,International Flavors & Fragrances,Materials,NYQ,USD,132.16,33.640933376,,2022-06-03
INTU,Intuit,Information Technology,NMS,USD,408.37,115.636912128,,2022-06-03
ISRG,Intuitive Surgical,Health Care,NMS,USD,216.39,77.302513664,,2022-06-03
IVZ,Invesco,Financials,NYQ,USD,19.07,8.79521792,,2022-06-03
IPGP,IPG Photonics,Information Technology,NMS,USD,102.27,5.451900928,,2022-06-03
IQV,IQVIA,Health Care,NYQ,USD,210.11,40.139415552,,2022-06-03
IRM,Iron Mountain,Real Estate,NYQ,USD,53.42,15.467761664,,2022-06-03
JBHT,J.B. Hunt,Industrials,NMS,USD,172.91,18.157971456,,2022-06-03
JKHY,Jack Henry & Associates,Information Technology,NMS,USD,186.13,13.781252096,,2022-06-03
J,Jacobs,Industrials,NYQ,USD,138.86,17.975842816,,2022-06-03
JNJ,Johnson & Johnson,Health Care,NYQ,USD,177.71,467.8393856,,2022-06-03
JCI,Johnson Controls,Industrials,NYQ,USD,54.0,38.033928192,,2022-06-03
JPM,JPMorgan Chase,Financials,NYQ,USD,129.91,393.411657728,,2022-06-03
JNPR,Juniper Networks,Information Technology,NYQ,USD,30.75,9.999315968,,2022-06-03
K,Kellogg's,Consumer Staples,NYQ,USD,69.0,23.537487872,,2022-06-03
KEY,KeyCorp,Financials,NYQ,USD,19.5,18.155630592,,2022-06-03
KEYS,Keysight,Information Technology,NYQ,USD,143.55,26.275680256,,2022-06-03
KMB,Kimberly-Clark,Consumer Staples,NYQ,USD,131.4,44.244611072,,2022-06-03
KIM,Kimco Realty,Real Estate,NYQ,USD,22.94,14.140859392,,2022-06-03
KMI,Kinder Morgan,Energy,NYQ,USD,20.02,45.393948672,,2022-06-03
KLAC,KLA,Information Technology,NMS,USD,356.99,54.127538176,,2022-06-03
KHC,Kraft Heinz,Consumer Staples,NMS,USD,37.25,45.595488256,,2022-06-03
KR,Kroger,Consumer Staples,NYQ,USD,51.35,37.755396096,,2022-06-03
LHX,L3Harris,Industrials,NYQ,USD,241.49,47.386374144,,2022-06-03
LH,LabCorp,Health Care,NYQ,USD,245.78,23.52114688,,2022-06-03
LRCX,Lam Research,Information Technology,NMS,USD,505.79,71.21473536,,2022-06-03
LW,Lamb Weston,Consumer Staples,NYQ,USD,66.57,9.723746304,,2022-06-03
LVS,Las Vegas Sands,Consumer Discretionary,NYQ,USD,35.16,26.861889536,,2022-06-03
LDOS,Leidos,Industrials,NYQ,USD,104.74,14.699107328,,2022-06-03
LEN,Lennar,Consumer Discretionary,NYQ,USD,79.63,24.127492096,,2022-06-03
LLY,Lilly,Health Care,NYQ,USD,311.08,297.576628224,,2022-06-03
LNC,Lincoln Financial,Financials,NYQ,USD,56.85,10.2733056,,2022-06-03
LIN,Linde,Materials,NYQ,USD,319.61,163.817701376,,2022-06-03
LYV,Live Nation Entertainment,Communication Services,NYQ,USD,94.51,21.232617472,,2022-06-03
LKQ,LKQ Corporation,Consumer Discretionary,NMS,USD,50.55,14.734870528,,2022-06-03
LMT,Lockheed Martin,Industrials,NYQ,USD,439.3,121.152782336,,2022-06-03
L,Loews Corporation,Financials,NYQ,USD,64.75,16.426039296,,2022-06-03
LOW,Lowe's,Consumer Discretionary,NYQ,USD,191.72,129.170776064,,2022-06-03
LUMN,Lumen,Communication Services,NYQ,USD,11.96,12.24572416,,2022-06-03
LYB,LyondellBasell,Materials,NYQ,USD,114.31,38.040539136,,2022-06-03
MTB,M&T Bank,Financials,NYQ,USD,177.79,22.87890432,,2022-06-03
MRO,Marathon Oil,Energy,NYQ,USD,31.38,24.430491648,,2022-06-03
MPC,Marathon Petroleum,Energy,NYQ,USD,103.91,63.965749248,,2022-06-03
MKTX,MarketAxess,Financials,NMS,USD,276.91,10.529917952,,2022-06-03
MAR,Marriott International,Consumer Discretionary,NMS,USD,170.59,55.558262784,,2022-06-03
MMC,Marsh & McLennan,Financials,NYQ,USD,156.41,78.970626048,,2022-06-03
MLM,Martin Marietta,Materials,NYQ,USD,337.07,21.027067904,,2022-06-03
MAS,Masco,Industrials,NYQ,USD,55.67,13.588323328,,2022-06-03
MA,Mastercard,Information Technology,NYQ,USD,357.06,350.831804416,,2022-06-03
MTCH,Match Group,Communication Services,NMS,USD,79.24,22.431653888,,2022-06-03
MKC,McCormick,Consumer Staples,NYQ,USD,90.72,24.253448192,,2022-06-03
MCD,McDonald's,Consumer Discretionary,NYQ,USD,249.28,186.273234944,,2022-06-03
MCK,McKesson,Health Care,NYQ,USD,322.21,49.195667456,,2022-06-03
MDT,Medtronic,Health Care,NYQ,USD,97.78,131.47107328,,2022-06-03
MRK,Merck,Health Care,NYQ,USD,91.14,230.214172672,,2022-06-03
FB,Meta,Communication Services,NMS,USD,188.64,524.751208448,,2022-06-03
MET,MetLife,Financials,NYQ,USD,66.66,56.071729152,,2022-06-03
MTD,Mettler Toledo,Health Care,NYQ,USD,1263.4,29.040134144,,2022-06-03
MGM,MGM Resorts,Consumer Discretionary,NYQ,USD,34.19,16.033741824,,2022-06-03
